Listar Por Lojas;Quebrar Por Data;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;10/08/2026;1.065,22;355,07;3,00;4,00;;;;;;;;;;;1.065,24;1.065,24;0,00;3,00;100,00;217,96;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;11/08/2026;2.300,74;287,59;8,00;3,75;;;;;;;;;;;2.300,80;2.300,80;0,00;8,00;100,00;571,40;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;12/08/2026;4.132,04;275,47;15,00;2,33;;;;;;;;;;;4.132,21;4.132,21;269,90;15,00;100,00;908,19;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;13/08/2026;1.861,74;206,86;9,00;1,78;;;;;;;;;;;1.861,79;1.861,79;516,30;8,00;88,89;301,36;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;14/08/2026;2.777,53;185,17;15,00;2,60;;;;;;;;;;;3.213,21;3.213,21;199,93;20,00;100,00;2.213,77;0,00;0,00;0,00;4,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;15/08/2026;2.519,44;229,04;11,00;2,91;;;;;;;;;;;2.561,95;2.561,95;95,31;12,00;100,00;1.164,35;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;17/08/2026;1.463,25;182,91;8,00;2,12;;;;;;;;;;;1.637,43;1.637,43;224,08;9,00;90,00;1.110,51;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;18/08/2026;2.306,60;288,32;8,00;2,75;;;;;;;;;;;2.365,82;2.365,82;255,82;10,00;90,91;806,76;0,00;0,00;0,00;5,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;19/08/2026;2.050,76;205,08;10,00;3,30;;;;;;;;;;;2.128,35;2.128,35;77,52;10,00;90,91;925,80;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;20/08/2026;874,65;174,93;5,00;2,20;;;;;;;;;;;874,71;874,71;52,92;7,00;100,00;262,87;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;21/08/2026;1.818,27;165,30;11,00;1,91;;;;;;;;;;;1.818,34;1.818,34;0,00;9,00;81,82;461,21;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;22/08/2026;643,33;321,66;2,00;3,50;;;;;;;;;;;768,00;768,00;0,00;3,00;100,00;353,84;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;24/08/2026;2.046,20;204,62;10,00;2,60;;;;;;;;;;;2.072,58;2.072,58;491,02;10,00;90,91;678,62;0,00;0,00;0,00;4,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;25/08/2026;1.061,92;176,99;6,00;2,33;;;;;;;;;;;1.122,53;1.122,53;128,46;8,00;88,89;367,60;0,00;0,00;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;26/08/2026;1.850,50;231,31;8,00;3,00;;;;;;;;;;;1.850,55;1.850,55;313,91;8,00;100,00;608,70;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;27/08/2026;2.956,07;295,61;10,00;2,90;;;;;;;;;;;3.019,11;3.019,11;0,01;13,00;100,00;1.006,87;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;28/08/2026;3.214,14;200,88;16,00;2,87;;;;;;;;;;;3.214,22;3.214,22;162,82;12,00;75,00;778,33;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;29/08/2026;3.206,62;267,22;12,00;3,08;;;;;;;;;;;3.206,72;3.206,72;69,90;10,00;83,33;908,58;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;10/08/2026;965,69;193,14;5,00;2,20;;;;;;;;;;;965,69;965,69;219,90;5,00;100,00;183,81;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11/08/2026;830,97;207,74;4,00;3,00;;;;;;;;;;;831,01;831,01;0,00;4,00;100,00;203,94;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;12/08/2026;768,66;128,11;6,00;1,50;;;;;;;;;;;768,66;768,66;416,80;6,00;100,00;166,44;0,00;0,00;0,00;4,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13/08/2026;935,98;187,20;5,00;3,00;;;;;;;;;;;936,05;936,05;0,00;5,00;100,00;251,35;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14/08/2026;926,10;154,35;6,00;2,00;;;;;;;;;;;926,10;926,10;423,90;6,00;100,00;355,95;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15/08/2026;2.084,23;208,42;10,00;3,00;;;;;;;;;;;2.084,32;2.084,32;0,00;10,00;100,00;755,48;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;16/08/2026;524,50;104,90;5,00;2,20;;;;;;;;;;;524,51;524,51;27,90;5,00;100,00;286,44;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17/08/2026;1.317,80;188,26;7,00;2,43;;;;;;;;;;;1.317,85;1.317,85;219,90;7,00;100,00;629,25;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18/08/2026;989,38;197,88;5,00;2,00;;;;;;;;;;;989,38;989,38;36,90;5,00;100,00;384,62;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19/08/2026;1.711,60;190,18;9,00;2,78;;;;;;;;;;;1.711,69;1.711,69;119,90;9,00;100,00;726,71;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20/08/2026;269,01;89,67;3,00;1,67;;;;;;;;;;;269,02;269,02;105,71;2,00;66,67;26,28;0,00;0,00;0,00;2,00
