Listar Por Lojas;Quebrar Por Data;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21/08/2026;1.092,78;182,13;6,00;2,17;;;;;;;;;;;1.092,81;1.092,81;230,80;6,00;100,00;345,79;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22/08/2026;1.901,23;271,60;7,00;2,86;;;;;;;;;;;1.901,23;1.901,23;229,80;7,00;100,00;288,77;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23/08/2026;882,40;126,06;7,00;2,57;;;;;;;;;;;882,43;882,43;187,51;7,00;100,00;414,87;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24/08/2026;779,53;155,91;5,00;1,60;;;;;;;;;;;779,53;779,53;436,71;4,00;80,00;72,67;0,00;0,00;0,00;3,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25/08/2026;206,70;206,70;1,00;5,00;;;;;;;;;;;206,72;206,72;0,00;1,00;100,00;142,18;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26/08/2026;694,63;115,77;6,00;2,33;;;;;;;;;;;694,63;694,63;164,30;6,00;100,00;144,52;0,00;0,00;0,00;3,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27/08/2026;671,94;134,39;5,00;2,60;;;;;;;;;;;671,95;671,95;0,00;5,00;100,00;153,15;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;28/08/2026;1.465,60;366,40;4,00;3,00;;;;;;;;;;;1.465,60;1.465,60;164,80;4,00;100,00;133,10;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29/08/2026;3.666,77;203,71;18,00;2,78;;;;;;;;;;;3.666,82;3.666,82;395,50;18,00;100,00;880,78;0,00;0,00;0,00;3,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30/08/2026;1.810,60;201,18;9,00;2,00;;;;;;;;;;;1.810,60;1.810,60;371,71;8,00;88,89;162,69;0,00;0,00;0,00;4,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;10/08/2026;6.137,66;185,99;33,00;2,42;;;;;;;;;;;6.616,14;6.355,44;1.229,33;30,00;85,71;1.032,95;260,70;1,00;0,00;9,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11/08/2026;4.017,68;160,71;25,00;2,60;;;;;;;;;;;4.017,68;4.017,68;1.108,11;23,00;92,00;752,57;0,00;0,00;0,00;9,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;12/08/2026;4.586,80;191,12;24,00;2,54;;;;;;;;;;;4.791,94;4.791,94;1.170,12;30,00;83,33;1.067,96;0,00;0,00;0,00;20,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13/08/2026;4.863,31;211,45;23,00;2,57;;;;;;;;;;;4.863,37;4.863,37;815,36;28,00;96,55;971,17;0,00;0,00;0,00;15,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14/08/2026;6.984,73;218,27;32,00;2,62;;;;;;;;;;;7.287,61;7.287,61;1.207,92;33,00;86,84;2.234,35;0,00;0,00;0,00;15,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15/08/2026;7.781,87;180,97;43,00;2,05;;;;;;;;;;;8.438,48;8.438,48;2.512,71;40,00;85,11;1.831,16;0,00;0,00;0,00;22,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17/08/2026;4.634,16;185,37;25,00;2,80;;;;;;;;;;;5.111,04;5.111,04;833,83;30,00;88,24;2.479,49;0,00;0,00;0,00;14,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18/08/2026;4.312,47;172,50;25,00;2,20;;;;;;;;;;;4.469,45;4.312,54;1.026,27;29,00;90,62;1.777,08;156,91;1,00;0,00;18,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19/08/2026;6.468,83;190,26;34,00;2,38;;;;;;;;;;;6.890,37;6.700,57;1.986,57;40,00;88,89;1.990,54;189,80;1,00;0,00;21,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21/08/2026;5.251,00;159,12;33,00;2,33;;;;;;;;;;;5.741,60;5.591,70;1.369,98;40,00;95,24;1.620,71;149,90;1,00;0,00;17,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22/08/2026;5.999,62;230,75;26,00;2,62;;;;;;;;;;;5.999,62;5.999,62;1.456,22;25,00;96,15;1.209,53;0,00;0,00;0,00;9,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24/08/2026;1.463,01;162,56;9,00;2,00;;;;;;;;;;;1.463,03;1.463,03;305,32;8,00;80,00;273,04;0,00;0,00;0,00;5,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25/08/2026;5.789,51;186,76;31,00;2,65;;;;;;;;;;;5.959,53;5.959,53;1.058,04;27,00;81,82;1.492,94;0,00;0,00;0,00;14,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26/08/2026;7.438,74;218,79;34,00;2,71;;;;;;;;;;;7.438,82;7.438,82;893,63;36,00;94,74;2.540,24;0,00;0,00;0,00;11,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27/08/2026;4.932,26;164,41;30,00;2,07;;;;;;;;;;;5.068,24;5.068,24;2.040,98;35,00;89,74;984,49;0,00;0,00;0,00;23,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;28/08/2026;6.573,51;177,66;37,00;2,65;;;;;;;;;;;6.743,99;6.743,99;1.403,46;36,00;81,82;1.455,12;0,00;0,00;0,00;18,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29/08/2026;6.572,35;152,85;43,00;2,47;;;;;;;;;;;6.773,91;6.721,01;1.204,86;40,00;90,91;1.169,34;52,90;1,00;0,00;11,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;10/08/2026;2.990,02;230,00;13,00;2,85;;;;;;;;;;;2.990,02;2.990,02;342,66;13,00;100,00;479,28;0,00;0,00;0,00;2,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11/08/2026;3.618,05;226,13;16,00;2,50;;;;;;;;;;;3.618,10;3.618,10;132,84;20,00;100,00;969,76;0,00;0,00;0,00;6,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;12/08/2026;3.526,46;195,91;18,00;2,39;;;;;;;;;;;3.590,35;3.590,35;1.058,71;23,00;95,83;818,20;0,00;0,00;0,00;13,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13/08/2026;4.466,64;235,09;19,00;2,95;;;;;;;;;;;4.533,52;4.533,52;601,28;23,00;92,00;1.137,08;0,00;0,00;0,00;12,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14/08/2026;5.776,85;199,20;29,00;2,76;;;;;;;;;;;6.147,42;5.982,52;1.054,06;31,00;93,94;2.813,53;164,90;1,00;0,00;10,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15/08/2026;5.507,07;220,28;25,00;2,92;;;;;;;;;;;5.657,30;5.577,40;1.046,61;24,00;92,31;3.218,40;79,90;1,00;0,00;9,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17/08/2026;1.113,45;111,34;10,00;1,80;;;;;;;;;;;1.113,47;1.113,47;260,82;12,00;100,00;320,71;0,00;0,00;0,00;7,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18/08/2026;2.250,48;204,59;11,00;3,27;;;;;;;;;;;2.308,40;2.308,40;332,63;14,00;93,33;1.185,56;0,00;0,00;0,00;7,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19/08/2026;2.930,58;195,37;15,00;2,73;;;;;;;;;;;2.930,59;2.930,59;171,71;15,00;93,75;1.402,30;0,00;0,00;0,00;4,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20/08/2026;4.037,70;310,59;13,00;3,85;;;;;;;;;;;4.037,76;4.037,76;300,02;15,00;100,00;2.105,17;0,00;0,00;196,00;3,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21/08/2026;5.083,97;221,04;23,00;2,52;;;;;;;;;;;5.084,02;5.084,02;1.060,50;27,00;100,00;1.274,54;0,00;0,00;0,00;11,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22/08/2026;4.606,49;200,28;23,00;2,70;;;;;;;;;;;4.606,50;4.606,50;619,04;23,00;100,00;1.511,55;0,00;0,00;0,00;7,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24/08/2026;1.746,67;145,56;12,00;2,58;;;;;;;;;;;1.826,62;1.746,72;241,17;16,00;100,00;791,83;79,90;1,00;0,00;8,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25/08/2026;1.739,35;193,26;9,00;2,22;;;;;;;;;;;1.829,28;1.829,28;449,73;12,00;92,31;550,50;0,00;0,00;0,00;6,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26/08/2026;2.349,27;167,80;14,00;2,64;;;;;;;;;;;2.349,31;2.349,31;235,85;18,00;100,00;906,00;0,00;0,00;0,00;7,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27/08/2026;4.210,08;210,50;20,00;3,10;;;;;;;;;;;4.210,13;4.210,13;612,43;23,00;100,00;1.441,39;0,00;0,00;0,00;9,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;28/08/2026;4.207,21;191,24;22,00;3,14;;;;;;;;;;;4.207,23;4.207,23;48,90;22,00;100,00;1.234,07;0,00;0,00;0,00;1,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29/08/2026;4.129,10;217,32;19,00;2,21;;;;;;;;;;;4.259,94;4.259,94;1.711,82;19,00;95,00;1.096,56;0,00;0,00;0,00;12,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;10/08/2026;4.421,28;221,06;20,00;3,20;;;;;;;;;;;4.421,44;4.421,44;250,21;19,00;95,00;1.167,76;0,00;0,00;0,00;3,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11/08/2026;3.723,27;232,70;16,00;2,75;;;;;;;;;;;3.723,43;3.723,43;74,95;20,00;95,24;1.401,40;0,00;0,00;0,00;6,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;12/08/2026;4.692,62;260,70;18,00;2,83;;;;;;;;;;;4.752,71;4.752,71;462,64;21,00;91,30;1.542,76;0,00;0,00;0,00;8,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13/08/2026;2.973,56;228,74;13,00;2,15;;;;;;;;;;;3.072,58;2.973,68;793,54;16,00;94,12;970,47;98,90;1,00;0,00;9,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14/08/2026;5.712,42;259,66;22,00;3,55;;;;;;;;;;;5.712,55;5.712,55;322,84;25,00;100,00;3.633,47;0,00;0,00;0,00;5,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15/08/2026;2.399,33;171,38;14,00;2,29;;;;;;;;;;;2.550,16;2.455,26;476,80;15,00;100,00;1.404,64;94,90;1,00;0,00;4,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17/08/2026;4.487,49;213,69;21,00;2,52;;;;;;;;;;;4.839,69;4.839,69;952,77;25,00;96,15;1.924,28;0,00;0,00;0,00;10,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18/08/2026;5.530,41;276,52;20,00;3,75;;;;;;;;;;;5.530,57;5.530,57;341,37;26,00;96,30;3.119,26;0,00;0,00;0,00;10,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19/08/2026;3.185,09;187,36;17,00;2,06;;;;;;;;;;;3.185,20;3.185,20;514,65;18,00;90,00;1.230,65;0,00;0,00;0,00;8,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20/08/2026;2.262,33;161,59;14,00;2,86;;;;;;;;;;;2.262,41;2.262,41;0,04;18,00;100,00;1.061,24;0,00;0,00;0,00;4,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21/08/2026;3.799,66;211,09;18,00;2,94;;;;;;;;;;;4.019,64;3.799,74;695,44;22,00;100,00;1.163,71;219,90;1,00;0,00;9,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22/08/2026;3.554,81;253,91;14,00;2,00;;;;;;;;;;;3.554,82;3.554,82;439,80;13,00;92,86;726,89;0,00;0,00;0,00;2,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24/08/2026;3.275,95;172,42;19,00;2,16;;;;;;;;;;;3.851,38;3.716,48;822,24;25,00;100,00;1.554,37;134,90;1,00;0,00;12,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25/08/2026;5.224,19;227,14;23,00;2,39;;;;;;;;;;;5.554,30;5.554,30;1.467,77;25,00;96,15;1.479,62;0,00;0,00;0,00;10,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26/08/2026;6.178,53;228,83;27,00;2,63;;;;;;;;;;;6.251,50;6.251,50;531,57;28,00;96,55;2.753,84;0,00;0,00;0,00;7,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27/08/2026;6.044,93;262,82;23,00;3,35;;;;;;;;;;;6.364,77;6.364,77;657,81;26,00;100,00;1.381,46;0,00;0,00;0,00;5,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;28/08/2026;4.810,04;209,13;23,00;3,09;;;;;;;;;;;4.930,64;4.930,64;357,73;27,00;100,00;1.616,71;0,00;0,00;0,00;6,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29/08/2026;5.007,19;238,44;21,00;2,76;;;;;;;;;;;5.409,82;5.152,12;252,80;22,00;100,00;1.346,48;257,70;1,00;0,00;2,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;10/08/2026;3.162,71;225,91;14,00;3,14;;;;;;;;;;;3.162,86;3.162,86;313,78;14,00;100,00;925,89;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11/08/2026;3.179,15;167,32;19,00;2,58;;;;;;;;;;;3.179,25;3.179,25;544,50;18,00;94,74;1.247,40;0,00;0,00;0,00;5,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;12/08/2026;3.251,21;325,12;10,00;3,60;;;;;;;;;;;3.251,29;3.251,29;85,57;10,00;100,00;1.047,76;0,00;0,00;0,00;2,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13/08/2026;3.211,27;214,08;15,00;3,13;;;;;;;;;;;3.894,79;3.894,79;479,30;21,00;100,00;1.301,39;0,00;0,00;0,00;5,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14/08/2026;2.874,31;151,28;19,00;2,58;;;;;;;;;;;3.129,02;3.064,31;422,32;22,00;95,65;2.106,00;64,71;1,00;0,00;8,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15/08/2026;2.885,52;180,34;16,00;2,12;;;;;;;;;;;3.124,62;3.124,62;415,03;17,00;100,00;971,53;0,00;0,00;0,00;4,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17/08/2026;2.530,12;210,84;12,00;3,50;;;;;;;;;;;3.172,75;2.970,05;79,94;17,00;94,44;2.279,41;202,70;1,00;0,00;5,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18/08/2026;4.830,71;254,25;19,00;2,74;;;;;;;;;;;4.900,70;4.900,70;374,92;22,00;100,00;2.039,38;0,00;0,00;0,00;4,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19/08/2026;4.023,48;223,53;18,00;2,67;;;;;;;;;;;4.023,59;4.023,59;757,95;19,00;90,48;1.584,63;0,00;0,00;0,00;8,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20/08/2026;4.238,09;223,06;19,00;3,21;;;;;;;;;;;4.864,92;4.864,92;388,24;25,00;100,00;1.710,87;0,00;0,00;0,00;8,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21/08/2026;4.017,37;211,44;19,00;2,68;;;;;;;;;;;4.279,50;4.279,50;853,87;21,00;100,00;1.154,18;0,00;0,00;0,00;7,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22/08/2026;2.423,35;186,41;13,00;2,15;;;;;;;;;;;2.423,51;2.423,51;0,00;13,00;100,00;651,59;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24/08/2026;3.340,13;256,93;13,00;3,08;;;;;;;;;;;3.529,03;3.529,03;347,75;16,00;94,12;1.033,58;0,00;0,00;0,00;5,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25/08/2026;3.501,91;218,87;16,00;2,19;;;;;;;;;;;3.502,09;3.502,09;861,32;21,00;91,30;1.294,74;0,00;0,00;0,00;11,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26/08/2026;2.184,78;218,48;10,00;3,00;;;;;;;;;;;2.218,83;2.218,83;168,83;13,00;100,00;1.518,25;0,00;0,00;0,00;4,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27/08/2026;1.279,14;159,89;8,00;2,50;;;;;;;;;;;1.359,94;1.359,94;210,56;13,00;100,00;557,43;0,00;0,00;0,00;7,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;28/08/2026;3.633,47;242,23;15,00;2,27;;;;;;;;;;;3.633,63;3.633,63;269,94;17,00;94,44;1.152,59;0,00;0,00;0,00;6,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29/08/2026;1.584,34;198,04;8,00;2,00;;;;;;;;;;;1.584,42;1.584,42;447,91;8,00;100,00;523,08;0,00;0,00;0,00;3,00
