CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,49362,MALBEC DES ANTIT AER 75g/125ml V10,BOT,DESODORANTES,DESODORANTE MASCULINO,BOLETO TURBINADO BOT C13'26,MALBEC,Não,7,7,14.29%,7,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,49896,CBEM LOC DES HID CPO ROS/ALG V3 200ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,16,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,49896,CBEM LOC DES HID CPO ROS/ALG V3 200ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,49896,CBEM LOC DES HID CPO ROS/ALG V3 200ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,30,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,49896,CBEM LOC DES HID CPO ROS/ALG V3 200ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,3,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,49896,CBEM LOC DES HID CPO ROS/ALG V3 200ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,18,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,49896,CBEM LOC DES HID CPO ROS/ALG V3 200ml,BOT,CUIDADOS COM A PELE,CUIDADOS COM O CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,15,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,50018,BOTI SUN PR FAC ANT ACQ/F FPS30 10ml PRM,BOT,SUPORTE À VENDA,PRM,BOLETO PROMOCIONAL BOT C13'26,BOTI SUN,Não,15,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,50018,BOTI SUN PR FAC ANT ACQ/F FPS30 10ml PRM,BOT,SUPORTE À VENDA,PRM,BOLETO PROMOCIONAL BOT C13'26,BOTI SUN,Não,69,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,50018,BOTI SUN PR FAC ANT ACQ/F FPS30 10ml PRM,BOT,SUPORTE À VENDA,PRM,BOLETO PROMOCIONAL BOT C13'26,BOTI SUN,Não,44,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,50018,BOTI SUN PR FAC ANT ACQ/F FPS30 10ml PRM,BOT,SUPORTE À VENDA,PRM,BOLETO PROMOCIONAL BOT C13'26,BOTI SUN,Não,54,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,50018,BOTI SUN PR FAC ANT ACQ/F FPS30 10ml PRM,BOT,SUPORTE À VENDA,PRM,BOLETO PROMOCIONAL BOT C13'26,BOTI SUN,Não,44,0,0.00%,0,INTERIOR
