Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033909537;GLAMOUR DES COL INTENSE 75ml;2,000;310,53;155,26;76,86;0,00;0,00;233,67;75,25;304,02;5,23;33,17;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033878963;FLORATTA EDP RED PASSION V2 75ml;1,000;229,90;229,90;49,10;0,00;0,00;180,80;78,64;368,23;4,04;37,21;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033483037;FLORATTA DES COL RED V2 75ml;2,000;244,06;122,03;71,04;0,00;0,00;173,02;70,89;243,55;3,87;41,08;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033902385;ESTJ MALBEC PAIS/26;1,000;242,91;242,91;87,33;0,00;0,00;155,58;64,05;178,15;3,48;44,56;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033492503;COFFEE D/C DUO/WOM/ORIENT/AMAD V2 100ml;1,000;229,90;229,90;90,38;0,00;0,00;139,52;60,69;154,37;3,12;47,68;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033506774;CLASH DES COL 100ml;1,000;161,91;161,91;37,78;0,00;0,00;124,13;76,67;328,56;2,78;50,46;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033277070;BOTICOLL CONNEXION DES COL 100ml V2;1,000;174,90;174,90;62,18;0,00;0,00;112,72;64,45;181,28;2,52;52,98;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033524686;BOTIK GEL LIM FAC MIC AC MAN/SAL 50g PRM;5,000;112,71;22,54;0,00;0,00;0,00;112,71;100,00;0,00;2,52;55,50;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033888955;LIZ DES COL D ESSENCE 100ml;1,000;174,90;174,90;65,08;0,00;0,00;109,82;62,79;168,75;2,46;57,96;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033483150;FLORATTA DES COL GOLD V3 75ml;1,000;134,90;134,90;28,66;0,00;0,00;106,24;78,75;370,69;2,38;60,33;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033766789;BOTICOLL STYLETTO DES COL 100ml V3;1,000;162,20;162,20;58,14;0,00;0,00;104,06;64,16;178,98;2,33;62,66;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033334247;ESTJ FLORATTA FLOWERS SORT REG/22;1,000;193,07;193,07;91,46;0,00;0,00;101,61;52,63;111,10;2,27;64,93;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033896530;EGEO DES COL VANILLA UBESESSION 90ml;1,000;124,90;124,90;29,65;0,00;0,00;95,25;76,26;321,25;2,13;67,06;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033862979;ESTJ SOPHIE SPIDER GWEN CRIANC/25;1,000;136,70;136,70;52,50;0,00;0,00;84,20;61,59;160,38;1,88;68,95;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033962938;GLAMOUR LOC DES HID CPO INTENSE 200ml;2,000;105,26;52,63;22,36;0,00;0,00;82,90;78,76;370,75;1,85;70,80;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033850525;REF NSPA OL GLOR D H CPO AMEIX/NEG 150ml;1,000;79,90;79,90;0,00;0,00;0,00;79,90;100,00;0,00;1,79;72,59;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033766215;DREAM DES COL CEU/BAUN 200ml;1,000;119,90;119,90;46,25;0,00;0,00;73,65;61,43;159,24;1,65;74,24;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033479085;DREAM DES COL SPLSH VIAG/ENC 200ml V2;1,000;99,51;99,51;28,20;0,00;0,00;71,31;71,66;252,87;1,59;75,83;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033496808;LILY DES COL LEAU DE LILY SOLEIL 75ml;1,000;149,18;149,18;80,34;0,00;0,00;68,84;46,15;85,69;1,54;77,37;A;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033479511;ZAAD EDP MONDO 95ml V3;1,000;185,34;185,34;116,93;0,00;0,00;68,41;36,91;58,51;1,53;78,90;A;;
