Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033583577;CBEM SAB BARRA PESSEGUR/GOST 4x80g;1,000;38,90;38,90;13,91;0,00;0,00;24,99;64,24;179,65;0,96;93,49;B;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033765973;INTENSE LAP BAT NUDE ROSADO 12g;1,000;29,90;29,90;6,32;0,00;0,00;23,58;78,86;373,10;0,91;94,40;B;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033511662;CBEM SAB BARRA ROSA/ALGODAO V8 2x80g;2,000;38,01;19,00;14,54;0,00;0,00;23,47;61,75;161,42;0,91;95,31;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033906727;MAKE B BAS LIQ MATE SALICYLIC 250N 30g;1,000;59,94;59,94;36,55;0,00;0,00;23,39;39,02;63,99;0,90;96,21;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033578306;REF NSPA LOC DES AVEL CP CER/ROUGE 350ml;1,000;48,90;48,90;27,86;0,00;0,00;21,04;43,03;75,52;0,81;97,02;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033825332;MAKE B CORRET LIQ FAC EFFECT 40 57ml;1,000;41,94;41,94;21,09;0,00;0,00;20,85;49,71;98,86;0,80;97,83;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033828876;MATCH SHAMP HIDRATACAO E BRLH 300ml;1,000;41,33;41,33;20,54;0,00;0,00;20,79;50,30;101,22;0,80;98,63;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033512317;CBEM SAB BARRA CEREJA LIVRE V2 2x80g;2,000;34,31;17,15;14,90;0,00;0,00;19,41;56,57;130,27;0,75;99,38;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033860777;COFFEE DES ANTIT AER ORIENT/AMB 125ml;1,000;36,31;36,31;18,47;0,00;0,00;17,84;49,13;96,59;0,69;100,06;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033828883;MATCH COND HIDRATACAO E BRLH 280ml;1,000;36,60;36,60;20,56;0,00;0,00;16,04;43,83;78,02;0,62;100,68;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033877713;MAKE B BLUSH COMP BERRY MINI PRM 15g;1,000;19,90;19,90;5,27;0,00;0,00;14,63;73,52;277,61;0,56;101,25;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033908219;SACOLA P BOTICARIO INST/25;6,000;0,06;0,01;7,86;0,00;0,00;-7,80;-13000,00;-99,24;-0,30;100,95;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033908226;SACOLA M BOTICARIO INST/25;7,000;0,07;0,01;10,92;0,00;0,00;-10,85;-15500,00;-99,36;-0,42;100,53;C;;
01/09/2026;024303 - 24303 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033856770;CBEM LOC DES HID CPO CER/FASES PRM 50ml;2,000;0,02;0,01;13,70;0,00;0,00;-13,68;-68400,00;-99,85;-0,53;100,00;C;;
01/09/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033508815;CBEM DES COL BDY SPLSH DELEITE V3 200ml;1,000;94,90;94,90;19,06;0,00;0,00;75,84;79,92;397,90;15,54;15,54;A;;
01/09/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033851249;CBEM LOC DES HID CPO DELEITE V3 400ml;1,000;78,90;78,90;29,15;0,00;0,00;49,75;63,05;170,67;10,20;25,74;A;;
01/09/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033894840;NSPA TRIO SAB BARR BES SEL COLL 3x100g;1,000;62,77;62,77;23,02;0,00;0,00;39,75;63,33;172,68;8,15;33,89;A;;
01/09/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033909810;NSPA DES COL BDY SPLSH AMEIX/INT 200ml;1,000;81,99;81,99;42,73;0,00;0,00;39,26;47,88;91,88;8,05;41,93;A;;
01/09/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033511839;MAKE B GLOS LAB C/AC POL SOFT SILK 5ml;1,000;65,87;65,87;29,31;0,00;0,00;36,56;55,50;124,74;7,49;49,43;A;;
01/09/2026;024617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033958023;NSPA ACUC ESF CPO AMEIX/INT 180g;1,000;65,87;65,87;31,11;0,00;0,00;34,76;52,77;111,73;7,12;56,55;A;;
