Listar Por Lojas;Quebrar Por Gestão estratégica;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19 - CUIDADOS COM A BARBA;144,14;144,14;1,00;2,00;;;;;;;;;;;144,14;144,14;0,00;1,00;100,00;5,66;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;2 - MAQUIAGEM;1.741,34;134,57;12,94;2,16;;;;;;;;;;;1.741,34;1.741,34;228,79;12,94;100,00;283,86;0,00;0,00;0,00;3,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20 - CUIDADOS COM A PELE;4.052,91;126,65;32,00;2,25;;;;;;;;;;;4.052,91;4.052,91;736,19;30,41;95,03;1.985,89;0,00;0,00;0,00;12,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21 - GIFTS;1.091,72;292,69;3,73;1,61;;;;;;;;;;;1.091,72;1.091,72;200,80;3,73;100,00;258,68;0,00;0,00;0,00;2,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - PERFUMARIA;27.842,24;265,82;104,74;2,01;;;;;;;;;;;28.075,29;27.842,24;4.901,36;102,89;98,23;11.416,81;233,05;1,93;0,00;37,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;5 - CABELOS;257,66;201,30;1,28;3,91;;;;;;;;;;;257,66;257,66;0,00;1,28;100,00;45,84;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;6 - SUPORTE À VENDA;432,82;118,58;3,65;5,75;;;;;;;;;;;434,64;432,89;0,00;3,65;100,00;398,83;1,75;0,07;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;7 - SABONETE CORPO;843,83;86,02;9,81;2,96;;;;;;;;;;;843,83;843,83;158,27;9,25;94,29;190,27;0,00;0,00;0,00;5,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - EMBALAGENS;1.264,74;146,21;8,65;36,76;;;;;;;;;;;1.282,59;1.270,43;0,00;8,59;98,74;160,30;12,16;0,05;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - ÓLEOS;1.181,54;159,24;7,42;2,02;;;;;;;;;;;1.184,54;1.184,54;249,80;7,42;99,87;267,96;0,00;0,00;0,00;3,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - CUIDADOS FACIAIS;2.688,83;280,09;9,60;3,12;;;;;;;;;;;2.688,83;2.688,83;47,90;9,60;100,00;972,17;0,00;0,00;0,00;1,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - DESODORANTES;6.223,27;115,40;53,93;2,74;;;;;;;;;;;6.582,86;6.553,78;1.017,47;47,93;82,92;1.563,78;29,07;0,12;0,00;21,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;16 - INFANTIL;4.798,52;158,31;30,31;2,08;;;;;;;;;;;4.798,52;4.798,52;1.059,10;26,34;86,90;537,18;0,00;0,00;0,00;11,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17 - ACESSÓRIOS;931,09;342,31;2,72;4,78;;;;;;;;;;;931,09;931,09;0,00;2,72;100,00;177,61;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18 - SOLAR;977,67;154,45;6,33;2,21;;;;;;;;;;;977,67;977,67;168,80;5,33;84,20;362,93;0,00;0,00;0,00;2,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19 - CUIDADOS COM A BARBA;246,05;187,82;1,31;3,82;;;;;;;;;;;246,05;246,05;0,00;1,31;100,00;85,45;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;2 - MAQUIAGEM;4.645,65;208,89;22,24;2,74;;;;;;;;;;;4.645,65;4.645,65;249,80;21,24;95,50;591,25;0,00;0,00;0,00;3,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20 - CUIDADOS COM A PELE;11.090,57;156,29;70,96;2,65;;;;;;;;;;;11.413,23;11.180,09;1.099,56;66,37;92,64;4.121,73;233,13;0,61;0,00;16,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21 - GIFTS;6.582,83;263,00;25,03;1,56;;;;;;;;;;;6.636,94;6.636,94;1.531,82;23,31;89,55;1.877,13;0,00;0,00;0,00;9,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27 - CUIDADOS PETS;129,80;370,86;0,35;5,71;;;;;;;;;;;129,80;129,80;0,00;0,35;100,00;0,00;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - PERFUMARIA;70.206,86;221,29;317,26;1,82;;;;;;;;;;;73.831,35;72.417,03;11.945,19;283,42;86,07;31.250,34;1.414,32;6,58;0,00;83,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;4 - HOME  CARE;94,52;115,27;0,82;1,22;;;;;;;;;;;94,52;94,52;0,00;0,82;100,00;20,38;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;5 - CABELOS;1.172,96;197,47;5,94;4,04;;;;;;;;;;;1.172,96;1.172,96;0,00;4,77;80,30;154,64;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;6 - SUPORTE À VENDA;2.395,37;172,20;13,91;8,55;;;;;;;;;;;2.474,59;2.451,41;9,17;37,62;93,65;2.730,30;23,18;0,10;0,00;8,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;7 - SABONETE CORPO;2.742,14;113,36;24,19;4,38;;;;;;;;;;;2.889,05;2.788,82;168,76;22,85;90,28;664,15;100,23;0,52;0,00;6,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - EMBALAGENS;80,03;166,73;0,48;16,67;;;;;;;;;;;80,03;80,03;0,00;0,46;95,83;8,62;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - ÓLEOS;433,52;178,40;2,43;2,88;;;;;;;;;;;487,42;487,42;84,90;2,56;90,78;188,68;0,00;0,00;0,00;1,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - CUIDADOS FACIAIS;3.257,39;250,76;12,99;4,00;;;;;;;;;;;3.257,64;3.257,64;256,41;12,99;100,00;1.523,41;0,00;0,00;0,00;3,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - DESODORANTES;3.571,49;139,95;25,52;3,33;;;;;;;;;;;3.893,44;3.842,30;457,41;26,79;97,67;786,91;51,13;0,19;0,00;10,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;16 - INFANTIL;3.340,92;157,66;21,19;2,31;;;;;;;;;;;3.424,13;3.424,13;700,73;21,19;95,49;680,87;0,00;0,00;0,00;9,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17 - ACESSÓRIOS;42,40;108,72;0,39;5,13;;;;;;;;;;;42,40;42,40;0,00;0,39;100,00;85,40;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18 - SOLAR;939,20;270,66;3,47;4,61;;;;;;;;;;;939,20;939,20;0,00;3,47;100,00;441,20;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19 - CUIDADOS COM A BARBA;430,62;119,62;3,60;3,33;;;;;;;;;;;430,62;430,62;0,00;3,60;100,00;170,18;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;2 - MAQUIAGEM;3.137,88;192,98;16,26;3,44;;;;;;;;;;;3.360,93;3.137,88;278,50;16,26;100,00;647,47;223,04;0,81;0,00;5,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20 - CUIDADOS COM A PELE;6.657,53;149,14;44,64;2,64;;;;;;;;;;;6.783,33;6.713,43;848,83;44,64;98,89;2.993,70;69,90;1,00;0,00;13,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21 - GIFTS;4.736,01;302,62;15,65;1,98;;;;;;;;;;;4.736,01;4.736,01;566,70;15,65;100,00;1.290,89;0,00;0,00;0,00;4,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27 - CUIDADOS PETS;47,31;205,70;0,23;4,35;;;;;;;;;;;47,31;47,31;0,00;0,23;100,00;12,59;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - PERFUMARIA;42.772,39;240,84;177,60;2,04;;;;;;;;;;;45.224,87;45.105,12;5.405,99;178,37;95,63;22.700,97;119,75;0,74;0,00;44,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;4 - HOME  CARE;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;5 - CABELOS;1.510,33;137,30;11,00;4,09;;;;;;;;;;;1.510,33;1.510,33;95,07;11,00;100,00;388,17;0,00;0,00;0,00;2,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;6 - SUPORTE À VENDA;2.831,51;172,02;16,46;8,38;;;;;;;;;;;2.861,82;2.843,74;42,45;25,46;96,18;3.041,13;18,08;0,11;0,00;4,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;7 - SABONETE CORPO;2.231,43;147,97;15,08;5,97;;;;;;;;;;;2.283,25;2.260,08;240,50;14,92;97,33;675,47;23,17;0,14;0,00;6,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - EMBALAGENS;364,92;178,88;2,04;37,25;;;;;;;;;;;364,98;364,98;0,00;2,04;100,00;46,58;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - ÓLEOS;816,13;272,95;2,99;3,68;;;;;;;;;;;871,04;871,04;26,01;4,70;100,00;258,66;0,00;0,00;0,00;1,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - CUIDADOS FACIAIS;3.032,00;242,37;12,51;3,28;;;;;;;;;;;3.032,00;3.032,00;283,30;12,51;100,00;1.381,90;0,00;0,00;0,00;2,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - DESODORANTES;3.810,86;134,56;28,32;3,50;;;;;;;;;;;3.853,55;3.853,55;263,35;27,64;94,27;1.154,30;0,00;0,00;0,00;6,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;16 - INFANTIL;2.710,08;144,85;18,71;1,98;;;;;;;;;;;2.808,98;2.710,08;454,70;18,71;100,00;480,32;98,90;1,00;0,00;5,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17 - ACESSÓRIOS;233,90;210,72;1,11;5,41;;;;;;;;;;;233,90;233,90;0,00;1,11;100,00;83,50;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18 - SOLAR;1.667,64;161,91;10,30;2,52;;;;;;;;;;;1.667,64;1.667,64;326,90;10,30;100,00;777,76;0,00;0,00;0,00;4,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19 - CUIDADOS COM A BARBA;203,73;473,79;0,43;6,98;;;;;;;;;;;203,73;203,73;0,00;0,43;100,00;28,97;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;2 - MAQUIAGEM;2.476,58;157,64;15,71;2,55;;;;;;;;;;;2.476,58;2.476,58;545,50;14,71;93,63;315,42;0,00;0,00;0,00;7,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20 - CUIDADOS COM A PELE;8.194,47;189,47;43,25;3,31;;;;;;;;;;;8.373,22;8.354,10;820,80;45,25;100,00;4.203,28;19,12;0,11;0,00;15,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21 - GIFTS;3.289,15;323,42;10,17;1,77;;;;;;;;;;;3.289,15;3.289,15;667,81;10,17;100,00;866,05;0,00;0,00;0,00;3,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27 - CUIDADOS PETS;230,04;213,00;1,08;3,70;;;;;;;;;;;230,04;230,04;0,00;1,08;100,00;29,56;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - PERFUMARIA;61.737,15;288,55;213,96;2,48;;;;;;;;;;;63.792,66;63.242,08;6.617,33;220,96;99,10;37.781,14;550,58;2,89;0,00;50,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;5 - CABELOS;1.001,51;131,26;7,63;2,88;;;;;;;;;;;1.046,09;1.046,09;213,38;8,63;100,00;243,61;0,00;0,00;0,00;4,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;6 - SUPORTE À VENDA;520,51;126,95;4,10;7,80;;;;;;;;;;;532,94;532,94;0,03;18,40;100,00;1.961,73;0,00;0,00;0,00;3,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;7 - SABONETE CORPO;1.970,05;134,29;14,67;5,59;;;;;;;;;;;1.984,20;1.984,20;61,80;15,35;97,96;665,75;0,00;0,00;0,00;2,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - EMBALAGENS;74,62;85,77;0,87;9,20;;;;;;;;;;;75,31;75,31;0,00;0,82;94,25;152,29;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - ÓLEOS;382,54;160,73;2,38;2,52;;;;;;;;;;;382,54;382,54;114,31;2,38;100,00;177,86;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - CUIDADOS FACIAIS;2.225,36;247,26;9,00;3,67;;;;;;;;;;;2.225,36;2.225,36;69,81;9,00;100,00;828,34;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - DESODORANTES;3.300,46;134,77;24,49;3,76;;;;;;;;;;;3.335,99;3.335,99;406,31;23,77;95,39;1.440,91;0,00;0,00;0,00;8,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;16 - INFANTIL;1.864,12;161,26;11,56;2,34;;;;;;;;;;;1.864,12;1.864,12;429,24;10,56;91,35;264,18;0,00;0,00;0,00;5,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17 - ACESSÓRIOS;334,71;109,03;3,07;2,28;;;;;;;;;;;334,71;334,71;43,90;3,07;100,00;85,59;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18 - SOLAR;676,57;228,57;2,96;3,38;;;;;;;;;;;676,57;676,57;53,90;2,96;100,00;322,43;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;19 - CUIDADOS COM A BARBA;125,80;106,61;1,18;1,69;;;;;;;;;;;125,80;125,80;74,90;1,00;84,75;12,00;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;2 - MAQUIAGEM;2.143,29;192,92;11,11;3,06;;;;;;;;;;;2.143,29;2.143,29;77,80;10,11;91,00;517,31;0,00;0,00;0,00;2,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;20 - CUIDADOS COM A PELE;7.667,45;194,36;39,45;4,03;;;;;;;;;;;7.932,02;7.932,02;478,57;38,89;95,67;5.601,72;0,00;0,00;0,00;6,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;21 - GIFTS;4.331,84;300,82;14,40;1,53;;;;;;;;;;;4.331,84;4.331,84;1.235,34;14,40;100,00;1.217,37;0,00;0,00;0,00;6,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;27 - CUIDADOS PETS;11,29;86,85;0,13;7,69;;;;;;;;;;;11,29;11,29;0,00;0,13;100,00;18,61;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - PERFUMARIA;42.983,44;238,25;180,41;2,19;;;;;;;;;;;45.377,16;45.027,35;6.588,47;180,91;95,33;29.377,90;349,81;2,00;0,00;44,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;4 - HOME  CARE;99,86;262,79;0,38;5,26;;;;;;;;;;;99,86;99,86;0,00;0,38;100,00;139,94;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;5 - CABELOS;773,38;141,64;5,46;3,66;;;;;;;;;;;841,22;841,22;121,06;6,46;100,00;285,58;0,00;0,00;0,00;2,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;6 - SUPORTE À VENDA;1.000,53;147,79;6,77;9,60;;;;;;;;;;;1.024,16;1.024,16;22,05;17,78;100,00;2.354,13;0,00;0,00;0,00;6,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;7 - SABONETE CORPO;785,82;181,06;4,34;8,06;;;;;;;;;;;832,15;832,15;46,33;5,34;100,00;283,84;0,00;0,00;0,00;1,00
