Listar Por Lojas;Quebrar Por Gestão estratégica;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;11 - EMBALAGENS;176,06;90,29;1,95;8,21;;;;;;;;;;;180,37;177,93;0,00;1,95;96,06;435,28;2,44;0,01;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;13 - ÓLEOS;751,97;212,42;3,54;2,82;;;;;;;;;;;751,97;751,97;85,00;3,54;100,00;247,03;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;14 - CUIDADOS FACIAIS;597,02;195,10;3,06;3,92;;;;;;;;;;;597,02;597,02;0,00;3,06;100,00;463,78;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;15 - DESODORANTES;2.982,71;175,14;17,03;4,93;;;;;;;;;;;3.016,82;3.016,82;87,01;17,03;94,45;1.335,33;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;16 - INFANTIL;1.931,86;244,54;7,90;3,29;;;;;;;;;;;1.939,68;1.931,86;59,90;7,90;100,00;250,72;7,82;0,08;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;17 - ACESSÓRIOS;35,58;187,26;0,19;5,26;;;;;;;;;;;35,58;35,58;0,00;0,19;100,00;2,32;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;18 - SOLAR;617,84;228,83;2,70;3,33;;;;;;;;;;;617,84;617,84;0,00;1,98;73,33;191,26;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;19 - CUIDADOS COM A BARBA;94,80;364,62;0,26;7,69;;;;;;;;;;;94,80;94,80;0,00;0,26;100,00;36,00;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;2 - MAQUIAGEM;1.896,56;220,27;8,61;3,48;;;;;;;;;;;1.896,56;1.896,56;94,90;8,34;96,86;362,44;0,00;0,00;0,00;2,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;20 - CUIDADOS COM A PELE;6.062,96;238,70;25,40;4,92;;;;;;;;;;;6.156,39;6.121,50;128,45;26,05;98,67;3.933,01;34,88;0,15;0,00;3,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;21 - GIFTS;7.081,49;354,25;19,99;1,85;;;;;;;;;;;7.081,49;7.081,49;254,90;19,99;100,00;2.167,81;0,00;0,00;0,00;1,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;27 - CUIDADOS PETS;59,89;239,56;0,25;8,00;;;;;;;;;;;59,89;59,89;0,00;0,25;100,00;69,91;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;3 - PERFUMARIA;37.936,89;277,30;136,81;2,67;;;;;;;;;;;39.163,33;38.196,69;2.016,88;129,30;93,87;25.130,97;966,64;5,64;0,00;16,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;4 - HOME  CARE;137,86;137,86;1,00;2,00;;;;;;;;;;;137,86;137,86;0,00;1,00;100,00;161,94;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;5 - CABELOS;792,92;308,53;2,57;6,61;;;;;;;;;;;792,92;792,92;0,00;2,57;100,00;218,38;0,00;0,00;0,00;0,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;6 - SUPORTE À VENDA;420,54;107,55;3,91;6,65;;;;;;;;;;;443,98;440,82;0,06;15,90;100,00;1.919,68;3,15;0,03;0,00;6,00
24303 - ACQUA DISTRIBUIDORA DE PERFUMES E COMETICOS LTDA;7 - SABONETE CORPO;1.672,91;170,71;9,80;7,65;;;;;;;;;;;1.702,72;1.672,91;0,01;9,67;98,67;687,78;29,80;0,08;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - EMBALAGENS;140,11;136,03;1,03;12,62;;;;;;;;;;;140,29;140,29;0,00;1,03;100,00;44,66;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - ÓLEOS;535,22;297,34;1,80;3,33;;;;;;;;;;;535,22;535,22;110,00;1,80;100,00;79,18;0,00;0,00;0,00;1,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - CUIDADOS FACIAIS;311,40;195,85;1,59;4,40;;;;;;;;;;;311,40;311,40;0,00;1,59;100,00;180,90;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - DESODORANTES;1.989,61;91,35;21,78;2,53;;;;;;;;;;;1.989,61;1.989,61;542,35;18,78;86,23;594,49;0,00;0,00;0,00;10,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;16 - INFANTIL;1.815,56;121,36;14,96;1,87;;;;;;;;;;;1.815,56;1.815,56;578,60;14,96;100,00;354,64;0,00;0,00;0,00;7,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;17 - ACESSÓRIOS;62,44;160,10;0,39;5,13;;;;;;;;;;;62,44;62,44;0,00;0,39;100,00;85,36;0,00;0,00;0,00;0,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;18 - SOLAR;138,80;107,60;1,29;1,55;;;;;;;;;;;138,80;138,80;79,90;1,29;100,00;39,00;0,00;0,00;0,00;1,00
